Open,High,Low,Close,Adj Close,Volume,Company,Date,Direction,description,Compound,Negative,Neutral,Positive
4538.950195,4595,4510.450195,4584.75,4584.75,10445,7,04-05-2023,1,Britannia Q4 Results Preview: Here's what to expect from FMCG major  The Economic Times,0,0,1,0
4580.049805,4635,4580.049805,4623.899902,4623.899902,5549,7,05-05-2023,1,Britannia builds on appetite for healthy foods: Rajneet Kohli  The Economic Times,0.4019,0,0.803,0.197
4654.950195,4700.350098,4575,4600,4600,13769,7,08-05-2023,0,"Britannia Industries Q4, Paytm results & Aditya Birla Fashion's newest acquisition | Market Minutes  Moneycontrol",0,0,1,0
4499,4539.299805,4485.700195,4497.600098,4497.600098,3891,7,22-05-2023,0,Britannia’s 50-50 launches ‘Golmaal’ cracker campaign with Ravi Shastri | Mint  Mint,0,0,1,0
4555.049805,4706.049805,4533.899902,4564.549805,4564.549805,19986,7,25-05-2023,1,Breakout Stocks: Nifty FMCG hits record highs! How to trade Britannia Industries and ITC on Friday  Economic Times,0.4574,0,0.85,0.15
4574,4679.049805,4568.149902,4657.25,4657.25,7121,7,31-05-2023,1,Mauritius-based Wadia group company may play role in GoFirst saga  Economic Times,0.34,0,0.821,0.179
4697.049805,4907,4697.049805,4893.100098,4893.100098,30544,7,07-06-2023,1,Britannia Industries hits a new high; up 5% in 4 days  Moneycontrol,0,0,1,0
4916.399902,4916.399902,4860,4875.149902,4875.149902,5651,7,08-06-2023,0,"Chandigarh: Firm, seller in soup for selling expired biscuits  Hindustan Times",0,0,1,0
4940,4976.450195,4928.399902,4934.200195,4934.200195,4533,7,14-06-2023,0,Britannia and Schbang use Generative AI to create a fantasy biscuit ...  Storyboard18,0.2732,0,0.84,0.16
4961.649902,5057.649902,4961.649902,5045.25,5045.25,5088,7,16-06-2023,0,"Breaking Records: Britannia, ITC among 7 Nifty 50 stocks hitting new 52-week highs today  The Economic Times",0.4019,0,0.847,0.153
5057,5063,5004.350098,5016.100098,5016.100098,6438,7,19-06-2023,0,"Britannia Crosses Rs 5,000 Per Share, Beats Peers To Surge 15-Fold In 10 Years  BQ Prime",0.296,0,0.872,0.128
5010.649902,5060,5008.899902,5054.25,5054.25,14344,7,20-06-2023,1,"Britannias New Plant, Product Pipeline Have A Competitive Edge Over Peers: Nomura  BQ Prime",0.1779,0,0.876,0.124
5022.100098,5071.049805,4975.700195,4990.100098,4990.100098,5389,7,22-06-2023,0,131-year-old biscuits brand Britannia embraces AI for 'Biscuitland' ad; images will leave you spellbound. Watch Britannia’s AI ad  Business Today,-0.0516,0.059,0.941,0
5032.049805,5142,5032.049805,5063,5063,20690,7,19-07-2023,0,"Axis Bank, Britannia Industries among 10 Nifty50 stocks with Golden Crossover pattern. Know what it signif  Economic Times",0,0,1,0
4885.049805,4957.5,4851.5,4903.5,4903.5,6142,7,28-07-2023,0,Britannia Bel to double its existing retail distribution by end of 2024  BusinessLine,0,0,1,0
4800.049805,4817.399902,4770,4790.049805,4790.049805,7290,7,03-08-2023,1,Food Industry Impacted By High Commodity Prices : Britannia Industries  BQ Prime,0,0,1,0
4790,4830,4769.25,4798.25,4798.25,10651,7,04-08-2023,0,"Britannia Industries Q1 Results: Profit Rises 36%, But Misses Estimates  BQ Prime",-0.1027,0.164,0.699,0.136
4775.600098,4810.299805,4620,4659.649902,4659.649902,35599,7,07-08-2023,0,"Buzzing Stocks: Britannia, Delhivery, Shipping Corp, BoB, BHEL, Biocon, others in news  Moneycontrol",0,0,1,0
4644.950195,4680.649902,4596.799805,4604.049805,4604.049805,10587,7,08-08-2023,1,"Hot Stocks: Brokerages on Godrej Consumer, Zomato, Ramco Cement, Britannia and Torrent Pharma  Economic Times",0,0,1,0
4615,4633,4575,4602.5,4602.5,13879,7,09-08-2023,1,Britannia brings Jim Jam into the open in its latest campaign  ETBrandEquity,0,0,1,0
4491.049805,4520,4453.950195,4500,4500,13211,7,14-08-2023,0,"Britannia share price Today Live Updates : Britannia closed today at ₹4500, down -0.25% from yesterday's ₹4511.3 | Mint  Mint",0.296,0,0.885,0.115
4502.850098,4552.799805,4462.799805,4535.649902,4535.649902,13444,7,18-08-2023,1,"Axis Bank, Britannia Industries among 10 Nifty stocks with golden crossover pattern  Economic Times",0.4019,0,0.828,0.172
4558.950195,4558.950195,4505.600098,4525.549805,4525.549805,20476,7,25-08-2023,1,Britannia Industries' (NSE:BRITANNIA) investors will be pleased with their respectable 49% return over the last five years  Simply Wall St,0.7003,0,0.756,0.244
4549.950195,4549.950195,4484.350098,4510.700195,4510.700195,6868,7,28-08-2023,1,Britannia aims to more than double its cheese biz in next 3 years; plans to invest in growth of e-commerce a..  ETRetail,0.3818,0,0.885,0.115
4510.700195,4534.950195,4485.700195,4526,4526,4428,7,29-08-2023,0,Britannia Industries Stocks Updates: Britannia Industries Sees Slight Increase in Price with Positive We...  Economic Times,0.7096,0,0.704,0.296
4571,4571.399902,4506.899902,4566.950195,4566.950195,4503,7,12-09-2023,1,Mrs Bectors wants to take the fight to Britannia  The Morning Context,-0.3818,0.191,0.809,0
4578.950195,4630,4551,4608.549805,4608.549805,9457,7,13-09-2023,1,"Britannia Industries, Adani Energy Solutions, Tata Power, Dabur, IRCTC, Adani Power, other top largecap stocks that Mutual Funds bought in August  Business Today",0.5574,0,0.781,0.219
4620.950195,4620.950195,4520,4531.950195,4531.950195,14617,7,15-09-2023,0,Britannia Industries Limited's (NSE:BRITANNIA) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock?  Simply Wall St,0.5267,0.121,0.625,0.254
4511.049805,4562,4480,4556.350098,4556.350098,42143,7,21-09-2023,0,Britannia Bourbon sparks global mayhem with ridiculous debate ...  MediaNews4U,-0.3612,0.217,0.783,0
4560,4571.799805,4510,4562.25,4562.25,2990,7,22-09-2023,0,"Britannia share price Today Live Updates : Britannia closed today at ₹4570.1, up 0.3% from yesterday's ₹4556.35 | Mint  Mint",0.296,0,0.885,0.115
4584.950195,4584.950195,4509,4537,4537,3530,7,29-09-2023,0,Britannia bourbon starts a global debate in its latest campaign  Adgully,0,0,1,0
4510.049805,4545.700195,4510.049805,4537.549805,4537.549805,2074,7,06-10-2023,0,"Britannia share price Today Live Updates : Britannia closed today at ₹4533.1, up 0.08% from yesterday's ₹4529.55 | Mint  Mint",0.296,0,0.885,0.115
4544.549805,4567.350098,4523.049805,4554,4554,7747,7,11-10-2023,0,"Britannia share price Today Live Updates : Britannia closed today at ₹4559, up 0.64% from yesterday's ₹4530.2 | Mint  Mint",0.296,0,0.885,0.115
4599.850098,4599.850098,4532.899902,4559.350098,4559.350098,5069,7,12-10-2023,0,Biscuits Market Size to Reach USD 148.56 Billion by 2030 | Comprehensive 180-Page Research Report  Yahoo Finance,0.2732,0,0.819,0.181
4565,4585.600098,4517.399902,4580.049805,4580.049805,40557,7,13-10-2023,0,Madras High Court restrains sale of Sunfeast Mom’s Magic Butter biscuits in blue wrapper similar to Britannia’s Good Day Butter Cookies  The Hindu,0.4404,0,0.884,0.116
4565.399902,4610.649902,4563.25,4602,4602,11564,7,17-10-2023,0,"Britannia Industries Limited's (NSE:BRITANNIA) top owners are public companies with 51% stake, while 27% is held by individual investors  Simply Wall St",0.2023,0,0.921,0.079
4609.049805,4622,4585.399902,4603.600098,4603.600098,9275,7,18-10-2023,0,"HDFC Life, Britannia, Berger Paints, LIC Housing, Can Fin Homes, Coal India top buy choices for today  CNBCTV18",0.2023,0,0.904,0.096
4615.549805,4615.549805,4562.200195,4604.200195,4604.200195,9202,7,19-10-2023,0,"Fed Chief Highlights: Federal Reserve Chairman Jerome Powell says inflation still too high, lower economi...  Economic Times",-0.296,0.121,0.879,0
4604.200195,4604.200195,4558.700195,4577.350098,4577.350098,7119,7,20-10-2023,0,LIC holding in Britannia Industries crosses 5%  The Hindu,0,0,1,0
227.899994,233.699997,227.899994,232.399994,222.942886,556945,9,12-12-2022,1,"Higher output could boost Coal India's spot sales, chairman says  Reuters",0.4019,0,0.787,0.213
231.350006,231.350006,227.100006,227.5,218.242294,150999,9,24-01-2023,0,"Coal India Ltd Share Price Today, COALINDIA Share Price NSE, BSE  Business Today",0.5267,0,0.714,0.286
225,228.300003,223.949997,224.899994,215.748093,486891,9,31-01-2023,0,Coal India net profit soars 70% in Q3 on higher demand; co declares second interim dividend | Mint  Mint,0.34,0.074,0.784,0.142
215.399994,217.149994,214.199997,215.550003,211.838425,344109,9,08-02-2023,0,Coal India turns ex-dividend today: Payment and other details inside | Mint  Mint,0,0,1,0
215,219.050003,214.649994,218.600006,214.835907,131642,9,01-03-2023,0,India cheers the return of 'King Coal' as industry sees buoyant future  Reuters,0.6124,0,0.688,0.312
212.050003,213.75,208.100006,208.550003,204.958954,182029,9,24-03-2023,0,Coal India’s supplies to non-regulated sectors seen up 16.6% during Jan-Mar | Mint  Mint,0,0,1,0
212.199997,214.25,211.300003,213.649994,209.97113,194098,9,31-03-2023,1,Coal India surpasses annual output target for first time in 17 years  Reuters,0,0,1,0
220.050003,224.25,220.050003,222.300003,218.472198,219985,9,05-04-2023,0,"India's power output grows at fastest pace in 33 years, fuelled by coal  Reuters",0,0,1,0
233,237.399994,233,236.050003,231.985428,447348,9,02-05-2023,0,Coal India output rises 7.7% in April  IndiaTimes,0,0,1,0
236.050003,238.850006,234.699997,236.75,232.67337,172008,9,03-05-2023,0,PM Prasad to be next Coal India chief  BusinessLine,0,0,1,0
236.5,238,234.100006,237.5,233.410461,226710,9,04-05-2023,1,Exclusive: India amends power policy draft to halt new coal-fired ...  Reuters,0.128,0,0.88,0.12
239.300003,240.149994,236.699997,239.300003,235.179459,113215,9,23-05-2023,0,"Stocks to Watch: Coal India, BPCL, Adani Power, Glenmark Pharma, Zee | Mint  Mint",0,0,1,0
247.850006,247.850006,239.449997,241.199997,237.046738,368739,9,31-05-2023,0,Indian government proposes to sell 3% stake in Coal India  Reuters India,0,0,1,0
230.5,231.899994,229.25,230.550003,226.580139,763733,9,01-06-2023,1,"Coal India OFS fully subscribed on Day 1 amid strong institutional interest, stock down 5%  The Economic Times",0.743,0,0.704,0.296
228,233.399994,228,230.899994,226.924103,1107967,9,02-06-2023,0,"Stocks to Watch: Coal India, Hero MotoCorp, Adani Ent, L&T, TVS Motors, Dish TV | Mint  Mint",0.5574,0,0.806,0.194
231,231.300003,229.449997,229.649994,225.695618,886885,9,05-06-2023,0,India cracks down on critics of coal - The Washington Post  The Washington Post,-0.296,0.155,0.845,0
228.050003,231.5,228.050003,230.649994,226.678406,474159,9,07-06-2023,1,Coal India to witness inflows as FTSE increases free float  Moneycontrol,0.5106,0,0.752,0.248
231.75,231.75,227.75,227.949997,224.024902,265516,9,08-06-2023,0,Plan for One of World's Biggest Coal Mines Challenged in India  Bloomberg,-0.1027,0.113,0.887,0
228.399994,228.699997,226.649994,227.300003,223.386093,132825,9,19-06-2023,0,Government to sell 92.44 lakh shares of Coal India to eligible ...  Mint,0.296,0,0.845,0.155
228.25,228.75,226.5,228.449997,224.516281,276000,9,21-06-2023,0,Explained | What is the contention between Coal India and CCI?  The Hindu,0,0,1,0
228.350006,229.850006,228.050003,228.600006,224.663712,247678,9,19-07-2023,0,Analysis: India's coal mining bet stumbles as wary banks weigh ...  Reuters India,0,0,1,0
232.550003,235.300003,229.399994,230.25,226.285294,430810,9,08-08-2023,1,"Coal India Consolidated June 2023 Net Sales at Rs 35,983.21 crore, up 2.54% Y-o-Y  Moneycontrol",0,0,1,0
235.899994,236.800003,234.399994,234.949997,230.904358,242097,9,10-08-2023,1,"Cipla, Coal India among 10 Nifty stocks with golden crossover pattern  Economic Times",0.4019,0,0.816,0.184
235.699997,235.949997,230.800003,233.899994,229.872437,325189,9,14-08-2023,0,Why We Like The Returns At Coal India (NSE:COALINDIA)  Simply Wall St,0.3612,0,0.815,0.185
229.149994,229.149994,227,227.449997,227.449997,422194,9,18-08-2023,0,Stock market news: Coal India down 2%; stock trades ex-dividend today | Mint  Mint,0,0,1,0
228.649994,230.149994,227.5,227.75,227.75,241234,9,25-08-2023,0,"India's coal stock above 88 million tonne, up 24.7% on year | Mint  Mint",0,0,1,0
230.149994,237.199997,230.149994,236.850006,236.850006,1369677,9,01-09-2023,0,Coal India's production up 13.2% in August amid surging power demand | Mint  Mint,-0.128,0.111,0.889,0
238.050003,248.899994,238.050003,247.850006,247.850006,1359448,9,04-09-2023,0,Coal India share price rises 5%. Here's why experts see a further 20% upside | Mint  Mint,0.296,0,0.864,0.136
249.050003,255.800003,247.5,255.25,255.25,1605405,9,05-09-2023,1,"Coal India, SAIL, Oil India, ONGC among top dividend-yield stocks — should you buy? | Mint  Mint",0.2023,0,0.886,0.114
280,280,268.799988,270.75,270.75,1057522,9,12-09-2023,0,"Coal India to invests Rs 24,000 crore in green transportation  CNBCTV18",0,0,1,0
271.049988,281.450012,269.25,279.649994,279.649994,860897,9,13-09-2023,0,"Coal India stock edges up on Rs 24,750-crore capex plans  Moneycontrol",0,0,1,0
280.950012,288,279.299988,284.25,284.25,632119,9,20-09-2023,0,Looming Strike by Miners Raises Worry About India Coal Supplies  Bloomberg,-0.5994,0.424,0.576,0
285,286.700012,278.75,280.350006,280.350006,369943,9,21-09-2023,0,"Hot Stocks | Why you should bet on Coal India, PNB, Honeywell Automation for short term  Moneycontrol",0,0,1,0
280.049988,286,279.299988,283.399994,283.399994,293315,9,22-09-2023,0,"Coal India share price Today Live Updates : Coal India closed today at ₹283.4, up 1.09% from yesterday's ₹280.35 | Mint  Mint",0.296,0,0.896,0.104
288.700012,291.25,286.100006,286.75,286.75,574961,9,26-09-2023,0,"Coal India share price Today Live Updates : Coal India closed today at ₹286.75, down -0.49% from yesterday's ₹288.15 | Mint  Mint",0.296,0,0.896,0.104
288,293.299988,284.5,291.549988,291.549988,709181,9,27-09-2023,0,Coal India strike postponed to October 12-14 after talks with trade unions  CNBCTV18,-0.3182,0.231,0.769,0
292.450012,294.149994,289,290.649994,290.649994,478801,9,28-09-2023,0,"Stocks To Watch: RIL, Infosys, Vedanta, Bharti Airtel, ONGC, Coal India, JSW Steel, Tata Power, Yatra Online  BQ Prime",0,0,1,0
293.899994,297.450012,291.450012,295.149994,295.149994,533867,9,29-09-2023,1,Play for a bounce back? Gaurav Bissa’s 2 top picks in this market  Economic Times,0.4939,0,0.724,0.276
297.950012,297.950012,290.149994,291.799988,291.799988,257844,9,03-10-2023,0,"Buzzing stocks: RVNL, JSW Infrastructure, Coal India, among 10 stocks that saw action today  Zee Business",0,0,1,0
288.399994,290.399994,284,289.450012,289.450012,216608,9,05-10-2023,1,"Coal India, Oil India, ONGC among top dividend-yield stocks — should you buy? | Mint  Mint",0.2023,0,0.878,0.122
287.700012,303.950012,287.649994,303.149994,303.149994,782972,9,10-10-2023,1,"Coal India share price rises more than 5% on higher dividend yield expectations, strong earnings prospects | Mint  Mint",0.7717,0,0.661,0.339
305,305,299.549988,301.450012,301.450012,320566,9,11-10-2023,0,"By 2050 Coal India Limited may have to lay off 73,800 jobs: Global ...  Down To Earth Magazine",-0.2263,0.101,0.899,0
304.450012,309.100006,302.200012,307.25,307.25,362903,9,12-10-2023,0,Coal India claims that trade unions have postponed their strike plans  Indiainfoline,-0.3182,0.248,0.752,0
305.700012,310.75,304.5,307.799988,307.799988,420077,9,13-10-2023,1,"PSU stocks REC, GAIL, Coal India, MMTC and NMDC hit 52-week high. Do you own any of these? | Mint  Mint",0,0,1,0
308.850006,313.700012,307.200012,312.149994,312.149994,247720,9,16-10-2023,0,"Coal India to Layoff Over 70,000 Workers by The Year 2050, Says a Report  Jagran Josh",0,0,1,0
313.799988,318.200012,312.049988,317.350006,317.350006,412228,9,17-10-2023,0,Coal India share price scales 52-week high on improved volumes and blended realization outlook | Mint  Mint,0.6486,0,0.725,0.275
317.950012,319.549988,315.350006,316.850006,316.850006,221211,9,18-10-2023,1,AIACE Temporarily Postpones Day-Long Demonstration Before ...  Indian PSU,-0.1779,0.2,0.667,0.133
315.75,315.75,308.899994,314.700012,314.700012,250700,9,19-10-2023,0,"Indian Stock Market News, Equity Market and Sensex Today in India  Equitymaster",0,0,1,0
312.950012,316.5,309.649994,312.299988,312.299988,159691,9,20-10-2023,1,India spent more than Rs 3.85 lakh crore on coal imports last year  ETEnergyWorld,0,0,1,0
312.950012,312.950012,304.049988,305.950012,305.950012,180284,9,23-10-2023,0,SECL leads Coal India subsidiaries in cleanliness and scrap disposal  Business Standard,0,0,1,0
303.100006,312.75,303.100006,310.299988,310.299988,275075,9,25-10-2023,0,Coal India Limited Auction Calendar For Linkage Auctions  Indian PSU,-0.2263,0.174,0.826,0
307.049988,309.100006,302.850006,305.200012,305.200012,499785,9,26-10-2023,0,"A green transition, but not without the coal-rich states  The Indian Express",0,0,1,0
3736.5,3770.699951,3405,3413.699951,3386.357178,79895,10,07-11-2022,0,"Divi’s Labs Q2 Results: Profit Falls, Misses Estimates  BQ Prime",0.25,0.148,0.625,0.227
3295,3295,3197,3277.5,3251.248047,45778,10,14-11-2022,0,Divi's Laboratories shares continue underperformance; fall to another 52-week low  CNBCTV18,0.0258,0.158,0.677,0.165
3384.899902,3419.949951,3348,3403.149902,3375.891602,24464,10,30-11-2022,0,Marcellus doubling its bet on Divi’s Lab for API opportunity  CNBCTV18,0.4215,0,0.781,0.219
3401.949951,3401.949951,3332.449951,3380.399902,3353.32373,27834,10,02-12-2022,0,Morgan Stanley cites these factors why Divi's can underperform its peers  CNBCTV18,0,0,1,0
3525.199951,3530.25,3469.25,3496.899902,3468.890625,11598,10,22-12-2022,1,"Stock Radar: Buy Divi’s Laboratories for a target of Rs 3700-3800, says Vaishali Parekh  The Economic Times",0,0,1,0
3340,3414.149902,3340,3385.75,3358.631104,4311,10,23-01-2023,0,"Divis Laboratories Ltd Share Price Today, DIVISLAB Share Price ...  Business Today",0.5267,0,0.694,0.306
3317.5,3417.5,3300.399902,3355.850098,3328.970703,18834,10,01-02-2023,0,Bloomberg Billionaires Index - Murali Divi  Bloomberg,0,0,1,0
3305.399902,3305.399902,2796.100098,2884.449951,2861.346191,234975,10,03-02-2023,0,Divi's Lab down over 11% as Q3 numbers leave investors disappointed  Economic Times,-0.5106,0.281,0.719,0
2775.149902,2796.5,2756.149902,2791.600098,2769.240234,14381,10,14-02-2023,0,Divi's Laboratories: December '22 Results Update  Moneylife,0,0,1,0
2907.050049,2928.850098,2883.5,2917.399902,2894.032227,24778,10,21-02-2023,0,Divi's Laboratories Selects Juniper Networks for Automated Network ...  Business Wire,0,0,1,0
2884.949951,2971,2878.149902,2915.399902,2892.04834,42785,10,24-02-2023,0,Divi Labs partners with Juniper Networks to automate network infrastructure for pharma manufacturing faci  Times of India,0,0,1,0
2846,2858.300049,2822.300049,2836.350098,2813.631592,13871,10,08-03-2023,0,Divi's chooses Juniper Networks to improve API manufacturing ...  Cleanroom Technology,0.4404,0,0.775,0.225
2768,2786.899902,2730,2756.899902,2734.817871,30389,10,14-03-2023,0,"Nifty Pharma index hits 2-year low; Cipla, Divis, Laurus Labs at 52 ...  Business Standard",0.1531,0.118,0.73,0.152
2790.100098,2829,2784.399902,2798.949951,2776.531006,12845,10,20-03-2023,0,"Divi's Labs set for big margin boost but valuations expensive, says MOFSL  Moneycontrol",0.2144,0,0.866,0.134
2931.050049,3222.649902,2931.050049,3212.050049,3186.32251,186942,10,12-04-2023,1,Divi's Lab shares jump over 9% as exports rise in March  The Economic Times,0.296,0,0.855,0.145
3265.199951,3364.600098,3250.199951,3341.600098,3314.834717,30549,10,19-04-2023,0,Saurabh Mukherjea on why he added Divi’s to Rising Giant portfolio and gems of Little Champs portfolio  Economic Times,0.3626,0,0.878,0.122
3225.899902,3264.449951,3210,3231.75,3205.864502,28212,10,21-04-2023,0,Should you opt to buy stocks of Divis Labs?  Rediff.com,0,0,1,0
3325,3353.899902,3190.25,3318.350098,3291.770996,32579,10,12-05-2023,0,"Divis Labs, Laurus Labs, Gland Pharma See Weak U.S. Exports In April  BQ Prime",-0.4404,0.182,0.818,0
3262.050049,3332.699951,3262.050049,3278.600098,3252.339355,15620,10,16-05-2023,1,Fundamental Analysis Of Divis Laboratories - Financials & More  Trade Brains,0,0,1,0
3146.300049,3156.050049,3085.199951,3097.75,3072.937744,30833,10,19-05-2023,0,"May 19, 2023 - - Why Divis Lab Share Price is Falling  Equitymaster",0.1531,0.125,0.703,0.172
3090,3271.149902,3050.149902,3265.550049,3239.393799,33610,10,22-05-2023,0,"Buzzing Stocks: Zomato, NTPC, Bandhan Bank, Divi's Lab and others in focus  Moneycontrol",0,0,1,0
3225.050049,3415,3225.050049,3385.899902,3358.779785,74101,10,23-05-2023,0,Hold Divi's Laboratories; target of Rs 2700: Prabhudas Lilladher  Moneycontrol,0,0,1,0
3373.949951,3407,3335,3385.949951,3358.829346,25378,10,24-05-2023,0,Dilip Bhat looks at pharma to find the next multibagger  Economic Times,0,0,1,0
3425.050049,3494.399902,3425.050049,3488.25,3460.310059,6925,10,13-06-2023,0,Sun Pharma To Divis: Indian Pharma Companies Exports To The U.S. Mixed In May  BQ Prime,0,0,1,0
3478.25,3590,3478.25,3580,3551.325195,51099,10,15-06-2023,0,This market analyst identifies upside potential in Divi's Laboratories and BPCL  CNBCTV18,0,0,1,0
3595.350098,3632.050049,3568.850098,3583.600098,3554.896484,14365,10,16-06-2023,1,"Stocks to buy today: Divis Labs, M&M, Godrej Properties, Godrej Consumer, LTIMindtree among analysts top picks  Zee Business",0.2023,0,0.904,0.096
3583,3585.350098,3535,3565.199951,3536.643555,5205,10,20-06-2023,0,"Divis Lab share price Today Live Updates : Divis Lab closed today at ₹3565.2, down -0.52% from yesterday's ₹3583.75 | Mint  Mint",0.296,0,0.896,0.104
3552,3563.449951,3503.300049,3510.149902,3482.034424,12031,10,21-06-2023,0,Divi's Laboratories gets second bearish call in two days - BoFA Securities now sees 11% downside  CNBCTV18,0.0516,0.11,0.769,0.121
3535,3594.050049,3533.149902,3584.199951,3555.491455,7637,10,27-06-2023,0,"Divis Lab share price Today Live Updates : Divis Lab closed today at ₹3580.55, up 1.34% from yesterday's ₹3533.15 | Mint  Mint",0.296,0,0.896,0.104
3563.050049,3650,3563.050049,3583.050049,3554.35083,23531,10,30-06-2023,0,"Chart Check: After 30% rally from 52-week low, this pharma stock could retest Rs 3,900 levels; time to buy  The Economic Times",-0.2732,0.091,0.909,0
3624.050049,3685,3624.050049,3677.399902,3647.944824,8153,10,14-07-2023,0,Divi's Nutraceuticals to present clean-label spray-drying alternative ...  Nutritional Outlook,0,0,1,0
3685,3705.800049,3650.550049,3660.350098,3631.031738,15420,10,17-07-2023,1,"Buy Divi's Laboratories, target price Rs 3724: ICICI Direct  Economic Times",0,0,1,0
3720.050049,3732.149902,3673.899902,3679.449951,3649.978516,9866,10,26-07-2023,1,"Stocks to buy today: Divis, TVS Motor, Tata Elxsi, Titan, Tata Consumer Products among anaysts top picks  Zee Business",0.2023,0,0.909,0.091
3690,3764.699951,3690,3726.25,3696.403809,16574,10,03-08-2023,0,Divi's Laboratories Aspires To Become A Leader In Sartan Manufacturing  BW Healthcareworld,0,0,1,0
3949,3949,3834.550049,3845.649902,3814.847168,14763,10,08-08-2023,1,"Buy Divi's Laboratories, target price Rs 4130: Religare Broking  Economic Times",0,0,1,0
3652.600098,3746.350098,3602,3731.350098,3731.350098,25625,10,14-08-2023,0,"Divis Lab share price Today Live Updates : Divis Lab closed today at ₹3731.35, up 1.5% from yesterday's ₹3676.3 | Mint  Mint",0.296,0,0.896,0.104
3719,3739.399902,3652.149902,3709.449951,3709.449951,50014,10,16-08-2023,1,"Britannia, Divi's Laboratories among 10 Nifty stocks with Golden Crossover pattern  Economic Times",0.4019,0,0.816,0.184
3709.399902,3713.649902,3637.5,3659.699951,3659.699951,13326,10,17-08-2023,0,"Big Movers on D-Street: What should investors do with IndiGo, Divi's Labs & Vodafone Idea?  Economic Times",0,0,1,0
3656,3683.649902,3651,3664.350098,3664.350098,4378,10,21-08-2023,0,Neutral Divi’s Laboratories; target of Rs 3430: Motilal Oswal  Moneycontrol,0,0,1,0
3661.699951,3681,3640.25,3653.5,3653.5,26275,10,22-08-2023,1,"Divi's Laboratories Stocks Updates: Divi's Laboratories Closes at Rs 3655.25, Experiences 0.27% Decrease  Economic Times",0,0,1,0
3630.050049,3655.600098,3622.600098,3630.600098,3630.600098,4507,10,28-08-2023,0,"Madhusudana Rao Divi Retires From Post Of Director, Whole-time Director From Divis Labs  BW Healthcareworld",0,0,1,0
